               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.2173,            0.017106,            0.041733,           0.0028544,             0.77014,            0.012404,           0.0032191,             0.10336,            0.010821,            0.027006,             0.07746,             0.00046,             0.00046
                   1,             0.16896,            0.018022,            0.039865,           0.0031101,             0.91533,            0.019742,           0.0055234,            0.082172,            0.010245,             0.02563,            0.053921,          0.00092139,          0.00092139
                   2,             0.13488,            0.018022,            0.033636,           0.0032089,             0.98246,            0.041515,            0.013509,            0.068545,           0.0092565,             0.02333,            0.030364,           0.0013638,           0.0013638
                   3,             0.12274,            0.019243,            0.033244,            0.003224,                   1,             0.12522,            0.051849,            0.054671,           0.0084066,            0.021121,           0.0067871,           0.0017871,           0.0017871
                   4,             0.11346,            0.018429,            0.029908,             0.55651,             0.28637,             0.38723,             0.19337,            0.050877,           0.0075268,            0.020175,           0.0018416,           0.0018416,           0.0018416
                   5,            0.097667,            0.017242,             0.03173,             0.92619,             0.27315,             0.64179,             0.32781,            0.047845,            0.006581,            0.019006,           0.0018416,           0.0018416,           0.0018416
                   6,            0.097911,            0.016744,            0.028374,              0.8671,             0.35009,             0.65429,             0.36893,            0.046133,           0.0058834,            0.018032,            0.001802,            0.001802,            0.001802
                   7,            0.095835,            0.014737,            0.030412,             0.83554,             0.46367,             0.66146,             0.41109,            0.042282,           0.0056432,            0.017547,           0.0017624,           0.0017624,           0.0017624
                   8,            0.089048,            0.014592,            0.030859,             0.54941,             0.58409,             0.68413,             0.44355,             0.04004,           0.0052139,            0.017194,           0.0017228,           0.0017228,           0.0017228
                   9,             0.08186,             0.01454,            0.028728,             0.51882,             0.56963,             0.67298,             0.38996,            0.043164,           0.0048591,            0.017048,           0.0016832,           0.0016832,           0.0016832
                  10,            0.081126,            0.013814,            0.026549,              0.5674,             0.61747,             0.69269,             0.43218,            0.044566,           0.0045185,            0.016944,           0.0016436,           0.0016436,           0.0016436
                  11,            0.075193,            0.013487,            0.028458,             0.64644,             0.63078,             0.70105,             0.37203,            0.048206,           0.0042968,            0.016699,            0.001604,            0.001604,            0.001604
                  12,            0.074619,            0.013264,             0.02721,             0.72431,              0.6785,             0.72037,             0.47153,            0.041452,           0.0041569,            0.016484,           0.0015644,           0.0015644,           0.0015644
                  13,            0.076521,            0.012744,             0.02804,             0.68007,             0.68216,             0.72155,             0.49118,            0.038977,           0.0039706,            0.016149,           0.0015248,           0.0015248,           0.0015248
                  14,            0.073522,             0.01215,            0.026024,             0.68841,             0.67898,             0.73863,             0.51753,            0.038957,           0.0038436,             0.01593,           0.0014852,           0.0014852,           0.0014852
                  15,            0.069876,            0.011675,             0.02515,             0.69684,             0.70203,             0.74585,             0.49773,            0.038552,            0.003811,            0.015714,           0.0014456,           0.0014456,           0.0014456
                  16,            0.072491,             0.01214,            0.026505,             0.62196,              0.6964,             0.73667,             0.47286,            0.040248,            0.003763,            0.015543,            0.001406,            0.001406,            0.001406
                  17,            0.072188,            0.012008,            0.025203,             0.62597,             0.78071,             0.73961,             0.51511,            0.038145,           0.0036807,            0.015749,           0.0013664,           0.0013664,           0.0013664
                  18,            0.070531,             0.01175,            0.024988,             0.63835,             0.75756,              0.7511,             0.51831,            0.038504,           0.0035861,             0.01551,           0.0013268,           0.0013268,           0.0013268
                  19,            0.070142,            0.011094,            0.022626,             0.65532,             0.76062,              0.7811,             0.54564,            0.037547,           0.0035418,            0.015064,           0.0012872,           0.0012872,           0.0012872
                  20,            0.070379,            0.011025,            0.023056,             0.67344,             0.73805,             0.77279,             0.54112,            0.037618,           0.0034559,            0.015034,           0.0012476,           0.0012476,           0.0012476
                  21,            0.070455,            0.011173,            0.022699,             0.65739,             0.73611,             0.75995,             0.52991,            0.037124,           0.0033617,            0.014774,            0.001208,            0.001208,            0.001208
                  22,            0.064786,            0.011164,            0.021099,             0.68111,                0.72,             0.76494,             0.53553,            0.038461,           0.0033176,            0.014465,           0.0011684,           0.0011684,           0.0011684
                  23,            0.064866,            0.011343,            0.021317,             0.66289,             0.73576,             0.76941,             0.52436,            0.039202,           0.0032778,            0.014211,           0.0011288,           0.0011288,           0.0011288
                  24,            0.063394,             0.01061,             0.02109,             0.67321,             0.76122,             0.76835,             0.55723,            0.038479,            0.003223,            0.013923,           0.0010892,           0.0010892,           0.0010892
                  25,            0.058614,           0.0099579,            0.019839,             0.65989,             0.76179,             0.76657,             0.53073,            0.038704,           0.0032159,            0.013804,           0.0010496,           0.0010496,           0.0010496
                  26,            0.061562,            0.010652,            0.020699,             0.67282,             0.75158,             0.76596,             0.53662,            0.037841,           0.0031679,            0.013724,             0.00101,             0.00101,             0.00101
                  27,            0.061104,           0.0099518,            0.019564,              0.6877,             0.75696,             0.76646,             0.54874,            0.038071,           0.0031386,            0.013458,           0.0009704,           0.0009704,           0.0009704
                  28,            0.062664,            0.010888,            0.018667,             0.66797,             0.77934,             0.76972,             0.55906,            0.037077,           0.0031076,            0.013163,           0.0009308,           0.0009308,           0.0009308
                  29,            0.064354,             0.01071,            0.021348,             0.67233,             0.78185,             0.78208,             0.54388,             0.03757,           0.0031216,            0.012782,           0.0008912,           0.0008912,           0.0008912
                  30,             0.05945,            0.010127,             0.01908,             0.71075,              0.7669,             0.79423,             0.53809,            0.038101,           0.0031123,            0.012545,           0.0008516,           0.0008516,           0.0008516
                  31,            0.063971,            0.010174,            0.019017,             0.68995,             0.76783,             0.80838,             0.56633,             0.03897,           0.0030526,            0.012714,            0.000812,            0.000812,            0.000812
                  32,             0.05582,           0.0096521,            0.016415,             0.67055,             0.82381,             0.80603,             0.58316,            0.036409,           0.0029843,            0.012615,           0.0007724,           0.0007724,           0.0007724
