               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10033,            0.032326,            0.039641,           0.0032017,             0.96796,            0.045548,            0.012219,            0.041783,            0.015448,            0.024243,              0.0793,              0.0023,              0.0023
                   1,            0.068395,            0.029789,            0.033498,              0.3171,             0.54898,             0.50405,             0.20251,            0.032437,            0.010169,            0.019147,            0.057607,           0.0046069,           0.0046069
                   2,            0.058467,            0.022285,            0.025505,             0.52008,             0.64732,             0.62661,             0.24643,            0.031705,           0.0073826,            0.016346,            0.035819,           0.0068188,           0.0068188
                   3,            0.059634,             0.02145,            0.024918,             0.32362,             0.49656,             0.37939,              0.1766,            0.040753,           0.0068291,            0.015197,            0.013936,           0.0089357,           0.0089357
                   4,            0.058496,            0.020443,            0.020453,             0.45492,             0.56047,             0.49544,              0.2396,            0.038161,           0.0067343,            0.012471,            0.009208,            0.009208,            0.009208
                   5,            0.053484,            0.019193,            0.021996,             0.42056,             0.50369,             0.41893,             0.18126,            0.034239,           0.0062181,            0.013358,            0.009208,            0.009208,            0.009208
                   6,            0.056841,            0.018889,             0.01832,             0.60052,             0.46042,             0.58498,             0.29849,            0.029063,           0.0075365,            0.013086,             0.00901,             0.00901,             0.00901
                   7,            0.051735,            0.018566,            0.016567,             0.40267,             0.51495,              0.4315,             0.20056,            0.031093,           0.0075533,            0.016198,            0.008812,            0.008812,            0.008812
                   8,            0.051929,            0.017796,            0.016008,             0.55929,             0.59666,             0.50553,             0.25108,            0.031006,           0.0071042,            0.013218,            0.008614,            0.008614,            0.008614
                   9,            0.048547,            0.018666,             0.01449,             0.51938,             0.53212,             0.49996,             0.24314,            0.029129,           0.0078764,            0.019823,            0.008416,            0.008416,            0.008416
                  10,             0.04607,             0.01846,            0.014034,             0.58947,             0.52568,             0.54579,              0.2903,            0.029008,           0.0073794,            0.019247,            0.008218,            0.008218,            0.008218
                  11,            0.043223,            0.018434,            0.015922,             0.55103,             0.53149,              0.5837,             0.35736,            0.028384,           0.0075248,             0.01542,             0.00802,             0.00802,             0.00802
                  12,            0.044423,            0.018276,            0.013467,              0.7296,             0.66908,              0.7342,              0.4481,            0.025692,           0.0069889,            0.013714,            0.007822,            0.007822,            0.007822
                  13,            0.042296,            0.018308,            0.015192,             0.65632,             0.59677,             0.65364,             0.36125,            0.026699,           0.0071514,             0.01491,            0.007624,            0.007624,            0.007624
                  14,            0.041868,             0.01744,            0.012817,             0.71998,             0.56047,             0.69884,             0.35868,            0.025169,           0.0075947,            0.012739,            0.007426,            0.007426,            0.007426
                  15,             0.04212,            0.016586,            0.011032,             0.65532,             0.69823,             0.71492,             0.33786,            0.027847,           0.0069703,            0.012017,            0.007228,            0.007228,            0.007228
                  16,            0.041415,            0.017771,            0.010522,             0.76138,             0.76574,             0.81234,             0.44859,             0.02435,           0.0066036,            0.011396,             0.00703,             0.00703,             0.00703
                  17,            0.042264,            0.017601,           0.0099942,             0.67755,             0.77377,             0.75212,             0.48578,            0.023155,           0.0063903,            0.013925,            0.006832,            0.006832,            0.006832
                  18,            0.040806,            0.017367,           0.0089993,             0.71343,             0.65078,             0.72408,             0.46652,            0.022769,           0.0066446,            0.015549,            0.006634,            0.006634,            0.006634
                  19,            0.039718,             0.01605,           0.0098241,             0.71784,             0.72732,             0.75543,              0.4628,            0.021561,           0.0070233,            0.012582,            0.006436,            0.006436,            0.006436
                  20,            0.040555,            0.015953,           0.0077682,             0.63335,             0.77729,             0.72889,              0.4185,            0.022264,           0.0066805,            0.015547,            0.006238,            0.006238,            0.006238
                  21,            0.041953,            0.016313,           0.0087716,             0.58335,             0.79622,             0.75711,             0.47179,            0.023815,           0.0067156,             0.01171,             0.00604,             0.00604,             0.00604
                  22,            0.036794,            0.016821,            0.009115,              0.6315,              0.7241,              0.7606,             0.49537,            0.022052,           0.0065466,            0.011896,            0.005842,            0.005842,            0.005842
                  23,            0.037321,            0.016836,           0.0068099,             0.63047,             0.79888,             0.80012,             0.49725,            0.020461,           0.0061931,            0.014473,            0.005644,            0.005644,            0.005644
                  24,            0.035122,            0.015924,           0.0095127,             0.84173,             0.76667,             0.87969,             0.55748,            0.020981,           0.0058714,            0.010077,            0.005446,            0.005446,            0.005446
                  25,            0.033509,            0.014427,           0.0070027,              0.7268,             0.80178,             0.82227,             0.50936,            0.020576,           0.0064513,            0.015716,            0.005248,            0.005248,            0.005248
                  26,             0.03399,            0.016092,           0.0085002,               0.739,             0.80781,              0.8272,             0.55602,            0.018309,           0.0060214,            0.013412,             0.00505,             0.00505,             0.00505
                  27,            0.033312,            0.014953,           0.0074184,             0.79602,             0.82077,             0.83496,             0.52331,            0.018218,           0.0057518,            0.011787,            0.004852,            0.004852,            0.004852
                  28,             0.03418,            0.016125,           0.0086828,             0.73801,             0.80959,             0.84454,             0.56066,            0.017875,           0.0060442,            0.011686,            0.004654,            0.004654,            0.004654
                  29,            0.034922,            0.015934,           0.0092336,             0.78234,             0.80959,             0.85118,              0.5654,            0.018037,           0.0059858,            0.011723,            0.004456,            0.004456,            0.004456
                  30,             0.03285,            0.015108,           0.0049592,               0.758,             0.79673,             0.83515,             0.50043,            0.019112,            0.005937,            0.014184,            0.004258,            0.004258,            0.004258
                  31,            0.035946,            0.014993,           0.0064411,             0.82699,             0.78803,             0.86834,             0.56053,            0.020299,           0.0057397,            0.012731,             0.00406,             0.00406,             0.00406
                  32,            0.030531,            0.014316,           0.0052029,             0.79647,             0.85021,             0.88147,             0.58688,            0.018918,           0.0055579,            0.012582,            0.003862,            0.003862,            0.003862
                  33,            0.030322,            0.013921,           0.0049131,             0.80556,             0.84433,             0.87612,             0.56399,            0.019155,           0.0054882,            0.012624,            0.003664,            0.003664,            0.003664
                  34,             0.03249,            0.015466,           0.0068896,             0.86678,             0.75125,             0.86739,             0.58201,            0.017942,            0.005301,            0.012566,            0.003466,            0.003466,            0.003466
                  35,            0.029329,            0.014022,           0.0045276,             0.80662,             0.85279,             0.87942,             0.59791,             0.01841,           0.0053741,            0.012087,            0.003268,            0.003268,            0.003268
                  36,            0.028489,             0.01437,           0.0045835,              0.8327,             0.82227,             0.88678,             0.61422,            0.018203,           0.0053032,            0.012089,             0.00307,             0.00307,             0.00307
                  37,            0.029257,            0.014593,           0.0052151,             0.75301,             0.89786,             0.88095,             0.62267,            0.018588,           0.0051746,            0.012369,            0.002872,            0.002872,            0.002872
                  38,            0.030147,            0.013803,           0.0043564,             0.85208,              0.7476,             0.88606,             0.61332,            0.018664,           0.0054243,            0.012531,            0.002674,            0.002674,            0.002674
                  39,            0.032222,            0.014203,           0.0051766,             0.78066,             0.81195,             0.85269,             0.57275,            0.019556,           0.0057271,            0.012992,            0.002476,            0.002476,            0.002476
                  40,            0.027554,            0.012825,           0.0039535,             0.84645,             0.78239,             0.84128,             0.58096,            0.018823,           0.0059411,            0.012456,            0.002278,            0.002278,            0.002278
                  41,            0.029504,            0.014045,           0.0038284,             0.85163,             0.77825,             0.86665,             0.60699,            0.018791,           0.0057149,            0.012539,             0.00208,             0.00208,             0.00208
                  42,            0.026102,            0.013206,           0.0048537,             0.78908,             0.83204,             0.87386,             0.61328,            0.017353,           0.0054498,            0.012519,            0.001882,            0.001882,            0.001882
                  43,            0.027886,            0.014171,           0.0040895,             0.79555,             0.84179,             0.86577,             0.63141,            0.017229,           0.0053601,            0.012892,            0.001684,            0.001684,            0.001684
                  44,            0.026899,            0.013698,           0.0050864,               0.845,             0.82233,             0.88235,             0.62708,            0.017348,           0.0052623,            0.012749,            0.001486,            0.001486,            0.001486
                  45,            0.026404,            0.013917,           0.0036719,             0.84343,             0.83405,              0.8817,             0.63674,             0.01687,           0.0052075,            0.013388,            0.001288,            0.001288,            0.001288
                  46,            0.027358,            0.013471,           0.0041427,             0.81322,             0.82653,             0.87699,              0.6259,            0.016571,           0.0052079,             0.01371,             0.00109,             0.00109,             0.00109
                  47,            0.025637,            0.013656,           0.0031728,             0.81154,              0.8188,             0.87493,             0.63391,            0.017089,            0.005157,            0.013864,            0.000892,            0.000892,            0.000892
                  48,            0.025201,            0.012345,           0.0030027,             0.81973,              0.8274,             0.88192,             0.64817,            0.016706,           0.0051787,            0.013692,            0.000694,            0.000694,            0.000694
                  49,            0.026387,            0.012896,           0.0042311,             0.82678,             0.83209,             0.89009,             0.64584,            0.016579,           0.0051722,            0.013482,            0.000496,            0.000496,            0.000496
