               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.20701,            0.025734,            0.020847,           0.0030829,             0.86941,            0.014424,           0.0041275,            0.092259,            0.014983,            0.013518,             0.07815,             0.00115,             0.00115
                   1,             0.14683,            0.026681,            0.019731,           0.0032622,                   1,            0.064878,            0.022547,            0.068114,            0.012477,            0.012586,            0.055303,           0.0023035,           0.0023035
                   2,             0.11596,            0.024646,            0.016484,           0.0091539,                   1,             0.39902,             0.17765,            0.057198,             0.01041,            0.011679,            0.032409,           0.0034094,           0.0034094
                   3,             0.10796,            0.024101,            0.016831,             0.53591,             0.50711,             0.47714,             0.24271,            0.058726,           0.0079179,            0.010843,           0.0094678,           0.0044678,           0.0044678
                   4,             0.10436,            0.021584,            0.015168,             0.37996,             0.61443,             0.45678,             0.20043,            0.056816,           0.0068137,            0.010586,            0.004604,            0.004604,            0.004604
                   5,            0.091059,            0.019655,            0.016573,             0.47952,             0.64918,             0.50106,             0.24225,            0.056618,           0.0060437,            0.010319,            0.004604,            0.004604,            0.004604
                   6,             0.09328,            0.019271,            0.015399,             0.49408,             0.61013,             0.55136,             0.32531,            0.047001,           0.0060003,           0.0099203,            0.004505,            0.004505,            0.004505
                   7,            0.088015,            0.017462,            0.015858,             0.51104,             0.53626,             0.56829,             0.34074,            0.049558,           0.0059576,           0.0095776,            0.004406,            0.004406,            0.004406
                   8,            0.086129,            0.017085,            0.016052,              0.4666,             0.60737,             0.56784,             0.35559,             0.04649,           0.0056698,           0.0095507,            0.004307,            0.004307,            0.004307
                   9,            0.081697,            0.016892,            0.015347,              0.4502,             0.67158,             0.61425,             0.34172,             0.04645,           0.0053344,           0.0094814,            0.004208,            0.004208,            0.004208
                  10,            0.079055,            0.016356,            0.014362,             0.47504,             0.69764,             0.58846,             0.36441,            0.042798,           0.0049686,           0.0092503,            0.004109,            0.004109,            0.004109
                  11,            0.074977,            0.015755,            0.015356,             0.47638,             0.64625,             0.62081,             0.36153,            0.052772,           0.0049254,           0.0091387,             0.00401,             0.00401,             0.00401
