               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.21733,            0.025284,            0.041735,           0.0029502,             0.81825,            0.012697,           0.0033081,             0.10336,            0.015319,            0.027008,             0.07746,             0.00046,             0.00046
                   1,             0.16899,             0.02603,            0.039877,            0.003153,             0.95042,            0.021754,           0.0063376,            0.082246,            0.013985,            0.025616,            0.053921,          0.00092139,          0.00092139
                   2,             0.13502,            0.025691,            0.033669,            0.003211,             0.98246,            0.056952,            0.019708,            0.068898,            0.012449,            0.023243,            0.030364,           0.0013638,           0.0013638
                   3,             0.12264,            0.027213,            0.033251,           0.0088714,             0.98246,             0.21979,            0.084814,            0.054211,            0.011199,            0.021199,           0.0067871,           0.0017871,           0.0017871
                   4,             0.11292,            0.025585,            0.029878,             0.81901,             0.27649,             0.52194,             0.27129,            0.049879,           0.0095467,            0.019728,           0.0018416,           0.0018416,           0.0018416
                   5,            0.098468,            0.023186,            0.031766,             0.80332,             0.57459,             0.65492,             0.30112,            0.050075,           0.0081164,            0.019088,           0.0018416,           0.0018416,           0.0018416
                   6,            0.096747,            0.022157,             0.02844,             0.55953,             0.59786,             0.64691,             0.37403,             0.04415,           0.0074518,            0.018577,            0.001802,            0.001802,            0.001802
                   7,            0.093628,            0.019389,            0.029803,               0.492,             0.54572,             0.66624,              0.3919,            0.043464,           0.0066612,            0.017847,           0.0017624,           0.0017624,           0.0017624
                   8,            0.087071,            0.018966,            0.030619,              0.4694,             0.58762,              0.6628,             0.41582,            0.042707,            0.006091,            0.017497,           0.0017228,           0.0017228,           0.0017228
                   9,            0.081911,            0.018791,            0.028272,             0.55213,             0.58762,              0.6562,             0.36769,            0.044082,           0.0058207,            0.017151,           0.0016832,           0.0016832,           0.0016832
                  10,            0.081369,            0.018158,            0.026601,             0.56879,             0.67387,             0.71381,             0.43447,            0.041648,            0.005637,            0.017007,           0.0016436,           0.0016436,           0.0016436
                  11,             0.07595,            0.017556,            0.028458,              0.6015,             0.64489,             0.71566,             0.43936,            0.046269,           0.0054286,             0.01694,            0.001604,            0.001604,            0.001604
                  12,            0.074806,            0.017443,            0.027133,             0.58514,             0.66078,             0.70529,             0.47396,            0.041516,           0.0052481,            0.016571,           0.0015644,           0.0015644,           0.0015644
                  13,            0.076701,             0.01677,            0.027689,             0.58277,             0.65682,             0.70539,             0.47355,            0.041099,            0.005074,            0.016298,           0.0015248,           0.0015248,           0.0015248
                  14,            0.071792,            0.015876,            0.024772,             0.58559,             0.66511,             0.70554,              0.4778,            0.040721,           0.0049869,            0.016165,           0.0014852,           0.0014852,           0.0014852
                  15,            0.070168,             0.01535,            0.024469,             0.63005,             0.69191,             0.71467,             0.49971,            0.038082,           0.0049763,            0.016021,           0.0014456,           0.0014456,           0.0014456
                  16,            0.073659,            0.015992,            0.026111,             0.67377,              0.6654,             0.73503,             0.51334,             0.03864,           0.0050109,            0.015694,            0.001406,            0.001406,            0.001406
                  17,            0.072797,            0.015925,            0.024909,             0.64374,             0.65969,             0.73636,             0.50611,            0.037849,           0.0049302,            0.015398,           0.0013664,           0.0013664,           0.0013664
