               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.095617,            0.032221,            0.038426,            0.097115,              0.1725,             0.11716,            0.040386,            0.038317,            0.013618,             0.02178,              0.0816,              0.0046,              0.0046
                   1,            0.066689,            0.025889,            0.031027,             0.33715,             0.49459,             0.42822,             0.16176,             0.04134,           0.0091454,              0.0172,            0.062307,           0.0093069,           0.0093069
                   2,            0.060483,            0.019978,            0.024425,             0.37859,              0.4658,             0.39831,             0.18457,            0.044628,           0.0070078,            0.013267,            0.042919,            0.013919,            0.013919
                   3,            0.067382,            0.020421,            0.024759,             0.30305,             0.48822,              0.3328,             0.13374,            0.038385,           0.0076714,             0.01481,            0.023436,            0.018436,            0.018436
                   4,            0.066611,              0.0204,            0.018877,             0.31184,              0.4685,             0.31136,             0.11374,            0.036969,            0.011426,            0.022121,            0.019208,            0.019208,            0.019208
                   5,            0.058625,            0.020674,            0.022862,             0.40889,             0.39307,             0.30453,            0.092153,             0.04379,            0.012274,            0.016197,            0.019208,            0.019208,            0.019208
                   6,            0.065061,            0.021481,            0.016856,             0.52175,             0.33174,             0.19613,            0.073057,            0.038763,           0.0098264,            0.027813,             0.01901,             0.01901,             0.01901
                   7,            0.061008,              0.0212,            0.017253,             0.28875,             0.33636,             0.31208,             0.12542,             0.03478,            0.010083,            0.018982,            0.018812,            0.018812,            0.018812
                   8,            0.058705,            0.021599,            0.019678,             0.27969,             0.24291,             0.23099,            0.098926,            0.040264,            0.012911,             0.02535,            0.018614,            0.018614,            0.018614
                   9,            0.056832,            0.022711,            0.020596,              0.3812,             0.11681,             0.12996,            0.032332,            0.043875,            0.012152,            0.018303,            0.018416,            0.018416,            0.018416
                  10,            0.056229,            0.022065,            0.017034,             0.47624,             0.18884,             0.14133,            0.039939,            0.050956,            0.013057,             0.02459,            0.018218,            0.018218,            0.018218
