               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.29599,            0.035124,            0.060471,           0.0032695,             0.98551,            0.026912,           0.0069428,             0.11785,            0.019908,            0.037762,              0.0793,              0.0023,              0.0023
                   1,             0.19929,            0.035635,             0.05323,           0.0037529,             0.99537,             0.23011,              0.0823,            0.093521,            0.014829,            0.033326,            0.057607,           0.0046069,           0.0046069
                   2,             0.16636,            0.030376,            0.043423,             0.83631,             0.39024,             0.61223,             0.31495,            0.074726,            0.012005,            0.028887,            0.035819,           0.0068188,           0.0068188
                   3,             0.16319,            0.029535,            0.044996,              0.6198,             0.57514,             0.59794,             0.23962,            0.086204,           0.0099006,            0.026977,            0.013936,           0.0089357,           0.0089357
                   4,             0.16061,             0.02769,            0.040739,             0.60404,             0.54557,             0.57232,             0.25585,             0.11802,           0.0091902,            0.025421,            0.009208,            0.009208,            0.009208
                   5,             0.15437,             0.02514,             0.04418,             0.52741,             0.42133,             0.55531,             0.34157,            0.099179,           0.0091128,            0.025789,            0.009208,            0.009208,            0.009208
                   6,             0.15056,             0.02554,            0.039818,             0.48706,             0.48212,             0.53532,             0.29689,            0.072094,           0.0087882,            0.024367,             0.00901,             0.00901,             0.00901
                   7,             0.15116,            0.022872,            0.040496,             0.46329,             0.52439,             0.57596,             0.30145,            0.085121,           0.0081583,            0.023406,            0.008812,            0.008812,            0.008812
                   8,             0.14069,            0.022598,            0.039796,             0.61253,             0.50946,             0.62369,             0.31992,            0.085847,           0.0080275,            0.022941,            0.008614,            0.008614,            0.008614
                   9,             0.13106,            0.022601,            0.037957,             0.53503,             0.63746,               0.635,             0.34355,            0.078349,           0.0078909,            0.021992,            0.008416,            0.008416,            0.008416
                  10,             0.13362,            0.021612,            0.033197,             0.62409,             0.71372,             0.65643,             0.37937,            0.078801,           0.0069228,            0.021102,            0.008218,            0.008218,            0.008218
                  11,             0.12491,            0.021323,            0.033912,             0.59606,             0.67497,             0.71531,             0.37653,            0.079575,           0.0071377,             0.02184,             0.00802,             0.00802,             0.00802
                  12,             0.12311,            0.021388,            0.032036,             0.60693,              0.5656,              0.6201,             0.36045,            0.068972,           0.0076855,            0.021966,            0.007822,            0.007822,            0.007822
                  13,             0.12175,            0.020786,            0.031922,             0.62582,             0.62635,              0.6241,             0.34971,            0.069128,            0.007508,            0.020387,            0.007624,            0.007624,            0.007624
                  14,             0.12662,            0.019439,             0.02685,             0.62521,             0.61136,             0.63244,             0.37303,            0.072038,           0.0074958,            0.018763,            0.007426,            0.007426,            0.007426
                  15,             0.11692,            0.018885,            0.026001,             0.63798,             0.50539,             0.56891,             0.32457,            0.086196,           0.0074067,            0.020683,            0.007228,            0.007228,            0.007228
                  16,             0.12333,            0.019347,            0.026309,             0.77197,             0.53299,             0.64355,             0.37538,            0.078173,           0.0073359,            0.021975,             0.00703,             0.00703,             0.00703
                  17,             0.12282,            0.019565,            0.026873,             0.64155,             0.70983,             0.72195,             0.45419,            0.066888,           0.0070066,            0.019999,            0.006832,            0.006832,            0.006832
                  18,             0.11767,            0.019382,            0.024919,             0.74662,             0.68086,             0.79482,             0.47913,            0.071917,           0.0067132,            0.018286,            0.006634,            0.006634,            0.006634
                  19,             0.11141,            0.018265,            0.022005,             0.79041,             0.59901,             0.78443,             0.41249,            0.076049,            0.006541,             0.01634,            0.006436,            0.006436,            0.006436
                  20,             0.11839,            0.017965,            0.022381,             0.80608,               0.758,             0.81998,             0.48224,            0.074484,           0.0064887,            0.017794,            0.006238,            0.006238,            0.006238
                  21,             0.11529,            0.018569,            0.022882,             0.64461,             0.63628,             0.68037,             0.41513,             0.07705,           0.0069523,            0.020556,             0.00604,             0.00604,             0.00604
                  22,             0.10429,            0.018564,              0.0198,             0.71185,             0.50597,             0.66036,              0.3865,            0.080015,           0.0071438,            0.021419,            0.005842,            0.005842,            0.005842
                  23,             0.10802,            0.019027,            0.017324,             0.69638,             0.74104,             0.77475,             0.45928,            0.065573,           0.0071062,            0.019424,            0.005644,            0.005644,            0.005644
                  24,             0.10496,            0.017907,            0.018583,             0.84575,             0.74187,             0.84431,             0.48985,            0.062956,           0.0066155,            0.017139,            0.005446,            0.005446,            0.005446
                  25,            0.093495,            0.016479,            0.015979,             0.67161,             0.78061,             0.80785,             0.49761,            0.059955,            0.006499,            0.017851,            0.005248,            0.005248,            0.005248
                  26,             0.09372,            0.017707,            0.017846,             0.74268,             0.73155,             0.79846,             0.48385,            0.058929,           0.0066783,            0.019775,             0.00505,             0.00505,             0.00505
                  27,            0.095205,            0.016569,            0.016188,             0.69806,             0.74295,             0.77641,             0.49658,            0.060769,           0.0065694,            0.022153,            0.004852,            0.004852,            0.004852
                  28,             0.10055,            0.018231,            0.015614,             0.73679,             0.77537,             0.79829,             0.56119,            0.060458,           0.0060669,            0.020046,            0.004654,            0.004654,            0.004654
                  29,             0.10548,            0.018027,            0.019054,             0.76645,             0.68867,             0.80182,             0.54025,            0.063837,           0.0060601,            0.020512,            0.004456,            0.004456,            0.004456
                  30,            0.096934,            0.016803,            0.014433,              0.6949,             0.71444,             0.79385,             0.45398,            0.067112,           0.0058754,            0.027437,            0.004258,            0.004258,            0.004258
                  31,             0.10281,            0.017036,            0.016441,             0.76892,             0.77342,             0.81269,             0.45911,            0.065317,           0.0061669,            0.019964,             0.00406,             0.00406,             0.00406
                  32,            0.088481,            0.016034,            0.013157,             0.84169,             0.81449,             0.86573,              0.5819,            0.059424,           0.0059663,            0.016369,            0.003862,            0.003862,            0.003862
                  33,            0.085466,            0.015627,            0.013498,             0.82983,              0.7863,             0.85171,             0.55075,            0.057764,           0.0060945,            0.017038,            0.003664,            0.003664,            0.003664
                  34,            0.094651,             0.01718,            0.014804,             0.81233,             0.78569,             0.83954,              0.5447,            0.057047,           0.0061353,            0.017636,            0.003466,            0.003466,            0.003466
                  35,            0.086775,             0.01597,            0.011938,             0.75139,             0.77865,             0.81437,             0.54731,            0.060214,           0.0063017,            0.019393,            0.003268,            0.003268,            0.003268
                  36,            0.081345,            0.016286,            0.012018,             0.81743,             0.75628,             0.84117,             0.57423,            0.056322,           0.0060067,            0.017973,             0.00307,             0.00307,             0.00307
                  37,            0.085336,            0.016598,            0.013541,             0.85258,             0.74765,             0.84107,             0.56511,            0.058452,           0.0059118,            0.019206,            0.002872,            0.002872,            0.002872
                  38,            0.084059,            0.015551,            0.010835,             0.82927,             0.71031,             0.83665,              0.5583,            0.057694,            0.005912,            0.020309,            0.002674,            0.002674,            0.002674
                  39,            0.090883,            0.016386,            0.010804,             0.83641,             0.75763,             0.84796,             0.56311,            0.059124,           0.0059211,            0.019852,            0.002476,            0.002476,            0.002476
                  40,            0.081104,            0.014304,           0.0098232,             0.84157,             0.76436,             0.85162,             0.58911,            0.058376,           0.0058096,            0.019221,            0.002278,            0.002278,            0.002278
                  41,            0.084487,            0.016123,             0.01021,             0.81367,             0.82113,             0.87426,             0.59191,             0.06015,           0.0057154,             0.01889,             0.00208,             0.00208,             0.00208
                  42,            0.077129,             0.01483,           0.0099055,             0.86958,             0.77753,             0.87754,             0.60089,            0.053065,           0.0058025,            0.016854,            0.001882,            0.001882,            0.001882
                  43,            0.080382,            0.015835,            0.010056,                 0.8,              0.7581,             0.85069,              0.5931,             0.05586,           0.0058433,            0.019061,            0.001684,            0.001684,            0.001684
                  44,            0.076164,            0.015543,            0.012336,             0.88951,             0.69817,             0.84913,             0.56703,            0.057452,           0.0057961,            0.019465,            0.001486,            0.001486,            0.001486
                  45,            0.074059,            0.015522,           0.0092363,              0.8489,             0.74481,             0.84944,              0.5788,            0.056694,           0.0058638,             0.02046,            0.001288,            0.001288,            0.001288
                  46,            0.079114,            0.015118,             0.00981,             0.84604,             0.78036,             0.86085,              0.6085,            0.053238,           0.0057815,            0.021061,             0.00109,             0.00109,             0.00109
                  47,            0.074518,            0.016029,           0.0086092,             0.82475,             0.80278,             0.86716,             0.60421,            0.054015,            0.005838,            0.019588,            0.000892,            0.000892,            0.000892
                  48,            0.074292,            0.013873,           0.0077934,             0.82738,             0.77639,             0.85558,             0.60236,            0.053995,           0.0059575,            0.019307,            0.000694,            0.000694,            0.000694
                  49,            0.077275,            0.015053,           0.0083746,             0.85614,             0.77099,             0.86114,             0.59101,            0.053975,            0.005931,            0.020037,            0.000496,            0.000496,            0.000496
