               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.22083,            0.033012,            0.021122,           0.0030147,             0.84565,             0.01193,           0.0030146,             0.10874,              0.0194,             0.01371,             0.07723,             0.00023,             0.00023
                   1,             0.18231,            0.032804,            0.020749,           0.0029839,             0.85491,             0.01334,           0.0034261,             0.09573,            0.017447,            0.013496,            0.053461,          0.00046069,          0.00046069
                   2,             0.14968,            0.032386,            0.018555,           0.0031936,             0.94579,            0.029047,           0.0083421,            0.078581,            0.016505,            0.013125,            0.029682,          0.00068188,          0.00068188
                   3,              0.1382,            0.035158,            0.019178,           0.0033346,                   1,            0.062528,            0.022035,            0.068337,            0.015191,            0.012618,           0.0058936,          0.00089357,          0.00089357
                   4,              0.1316,            0.034019,            0.018001,           0.0033567,                   1,             0.19432,            0.061555,            0.060667,            0.014157,             0.01213,           0.0009208,           0.0009208,           0.0009208
                   5,             0.11362,             0.03256,            0.017567,             0.08697,             0.94579,             0.33854,             0.15162,            0.053124,            0.012967,            0.011711,           0.0009208,           0.0009208,           0.0009208
                   6,             0.11053,             0.03225,            0.017004,             0.72333,             0.39855,             0.52046,             0.25387,             0.04699,            0.011726,            0.011223,            0.000901,            0.000901,            0.000901
                   7,             0.10444,            0.028335,            0.017149,             0.30447,             0.57287,             0.55264,             0.31167,            0.044972,            0.010878,            0.010895,           0.0008812,           0.0008812,           0.0008812
                   8,              0.0972,            0.027466,            0.017175,             0.66035,             0.56632,             0.54604,             0.31868,            0.042636,           0.0099409,             0.01069,           0.0008614,           0.0008614,           0.0008614
                   9,            0.088118,            0.026556,            0.016498,             0.31578,             0.56025,             0.53631,              0.3144,            0.042028,           0.0091617,            0.010525,           0.0008416,           0.0008416,           0.0008416
                  10,            0.084908,            0.025227,            0.015434,             0.35631,             0.56726,             0.52532,             0.29036,            0.042791,           0.0083875,            0.010345,           0.0008218,           0.0008218,           0.0008218
                  11,            0.079322,            0.024084,             0.01606,             0.31494,             0.68306,             0.52698,             0.31365,            0.042025,           0.0079283,            0.010281,            0.000802,            0.000802,            0.000802
                  12,            0.079887,            0.023934,            0.015664,             0.35668,             0.71359,             0.54549,             0.34524,            0.040182,           0.0075916,            0.010142,           0.0007822,           0.0007822,           0.0007822
                  13,            0.080473,            0.023075,            0.016007,             0.38069,             0.74405,             0.57707,             0.36412,            0.039765,           0.0071803,           0.0099426,           0.0007624,           0.0007624,           0.0007624
                  14,            0.075812,             0.02196,            0.015318,               0.408,              0.7265,             0.58117,             0.37923,            0.039585,           0.0070283,           0.0098259,           0.0007426,           0.0007426,           0.0007426
                  15,             0.07434,            0.021021,            0.015161,             0.44987,             0.71043,             0.59107,             0.37102,            0.038984,           0.0070192,           0.0098139,           0.0007228,           0.0007228,           0.0007228
                  16,            0.076666,            0.021991,            0.015803,             0.44893,             0.69817,             0.57929,             0.36062,            0.039297,           0.0069605,            0.009775,            0.000703,            0.000703,            0.000703
                  17,            0.075779,            0.021938,            0.015298,             0.47497,             0.66833,             0.58721,             0.40576,            0.037477,           0.0068529,           0.0097584,           0.0006832,           0.0006832,           0.0006832
                  18,             0.07419,            0.021392,            0.015226,             0.45533,             0.60126,             0.61021,             0.42891,              0.0371,           0.0067249,           0.0097097,           0.0006634,           0.0006634,           0.0006634
                  19,            0.072754,            0.020282,            0.014524,             0.47606,             0.64802,             0.61754,             0.43273,            0.036856,           0.0066181,           0.0096525,           0.0006436,           0.0006436,           0.0006436
                  20,            0.073095,            0.020141,             0.01495,             0.46221,             0.65148,              0.6324,              0.4441,            0.036971,           0.0064599,           0.0095673,           0.0006238,           0.0006238,           0.0006238
                  21,            0.075213,            0.020558,            0.014535,             0.46872,             0.66765,               0.641,             0.42207,            0.036955,           0.0063362,           0.0095146,            0.000604,            0.000604,            0.000604
