               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10565,            0.032176,            0.040643,            0.003134,             0.94116,            0.019457,           0.0052238,            0.048229,            0.016444,            0.025708,             0.07815,             0.00115,             0.00115
                   1,            0.076831,            0.031112,            0.036261,              0.1547,             0.22866,             0.18299,            0.067777,            0.034173,            0.012955,            0.021182,            0.055303,           0.0023035,           0.0023035
                   2,            0.060388,            0.026902,            0.028347,             0.18352,             0.62341,             0.27329,             0.11438,            0.033253,           0.0095793,            0.018113,            0.032409,           0.0034094,           0.0034094
                   3,            0.058399,             0.02389,            0.027652,             0.35601,             0.59493,             0.45088,             0.19304,            0.034949,           0.0071392,            0.016911,           0.0094678,           0.0044678,           0.0044678
                   4,            0.057481,            0.021648,            0.023902,              0.5708,             0.71399,             0.58232,             0.26972,            0.030864,           0.0063455,            0.015582,            0.004604,            0.004604,            0.004604
                   5,            0.049933,             0.02013,             0.02562,             0.57477,             0.62492,             0.60425,             0.33351,             0.03235,           0.0062175,             0.01343,            0.004604,            0.004604,            0.004604
                   6,            0.051477,            0.019603,            0.020498,             0.70129,             0.76641,              0.7877,             0.45615,            0.025019,           0.0062035,               0.012,            0.004505,            0.004505,            0.004505
                   7,             0.04926,            0.017784,            0.018391,             0.73692,             0.72815,             0.81111,             0.48597,            0.026237,           0.0063661,            0.011855,            0.004406,            0.004406,            0.004406
                   8,            0.049168,            0.017584,              0.0162,             0.76713,             0.74356,             0.83082,             0.46013,            0.023622,           0.0061997,              0.0106,            0.004307,            0.004307,            0.004307
                   9,            0.047198,            0.017777,            0.017197,             0.74537,             0.77587,             0.84809,             0.52705,            0.021388,           0.0060415,            0.010314,            0.004208,            0.004208,            0.004208
                  10,            0.043257,            0.017673,            0.012758,              0.7896,             0.64041,             0.72759,             0.42491,              0.0248,           0.0058635,            0.011597,            0.004109,            0.004109,            0.004109
                  11,            0.042477,            0.017223,            0.013681,             0.76971,             0.76424,             0.82688,             0.49909,            0.023407,           0.0057346,            0.011529,             0.00401,             0.00401,             0.00401
                  12,            0.041333,            0.017338,            0.011838,             0.81751,             0.72497,              0.8224,             0.50066,            0.022959,           0.0057022,            0.011047,            0.003911,            0.003911,            0.003911
                  13,            0.041018,            0.017102,            0.012406,             0.75639,             0.80436,             0.81505,             0.55473,            0.021147,           0.0056736,            0.012212,            0.003812,            0.003812,            0.003812
                  14,            0.039843,            0.016015,           0.0089905,             0.68047,             0.72766,             0.76462,             0.44254,            0.022624,           0.0057489,            0.011595,            0.003713,            0.003713,            0.003713
                  15,            0.039686,            0.015678,           0.0092976,             0.81875,             0.76306,             0.84563,             0.53596,            0.020437,           0.0056947,            0.011849,            0.003614,            0.003614,            0.003614
                  16,            0.039218,            0.016546,           0.0089388,             0.81786,             0.76916,             0.82458,             0.54817,            0.020983,           0.0058438,            0.012995,            0.003515,            0.003515,            0.003515
                  17,            0.039594,            0.016435,           0.0075579,             0.78007,             0.76441,             0.85597,             0.57682,            0.020091,           0.0057332,            0.012329,            0.003416,            0.003416,            0.003416
                  18,            0.039531,             0.01622,           0.0090284,             0.79243,             0.77253,             0.83508,             0.51917,            0.020636,           0.0059019,            0.011383,            0.003317,            0.003317,            0.003317
                  19,            0.037754,            0.015082,           0.0092083,             0.78349,             0.85334,             0.86279,             0.55559,            0.019897,           0.0059153,            0.011039,            0.003218,            0.003218,            0.003218
                  20,             0.03789,            0.014933,           0.0072452,             0.80726,             0.77756,             0.89298,             0.55713,            0.018785,            0.005727,             0.01011,            0.003119,            0.003119,            0.003119
                  21,            0.038772,            0.015579,           0.0095861,             0.84566,             0.80726,             0.88859,             0.55748,            0.019867,           0.0056775,            0.010798,             0.00302,             0.00302,             0.00302
                  22,            0.034302,            0.015821,           0.0082432,             0.85904,             0.70013,             0.84706,             0.58489,            0.018639,           0.0058883,            0.011282,            0.002921,            0.002921,            0.002921
                  23,            0.034486,            0.015942,           0.0063805,             0.84837,             0.78269,             0.89116,             0.59925,            0.019963,           0.0061339,            0.012555,            0.002822,            0.002822,            0.002822
                  24,            0.033723,            0.014842,           0.0077845,             0.79739,             0.83472,               0.881,             0.57276,            0.019892,            0.005888,            0.011527,            0.002723,            0.002723,            0.002723
                  25,            0.030124,            0.013837,           0.0060491,             0.85131,             0.82123,             0.88151,             0.58485,            0.020369,           0.0059963,            0.011718,            0.002624,            0.002624,            0.002624
                  26,            0.032649,            0.015182,           0.0063921,             0.84423,             0.80301,             0.88361,               0.596,            0.018116,           0.0058085,            0.012228,            0.002525,            0.002525,            0.002525
                  27,            0.030444,            0.014132,           0.0057249,             0.85253,             0.81752,             0.88426,             0.57895,            0.019116,           0.0056384,            0.011986,            0.002426,            0.002426,            0.002426
                  28,            0.031878,            0.015427,           0.0072908,             0.77444,             0.87116,             0.86515,              0.5889,            0.018107,           0.0056012,            0.013076,            0.002327,            0.002327,            0.002327
                  29,            0.034611,            0.015228,           0.0071648,             0.84405,             0.83492,             0.87441,             0.60041,            0.016702,           0.0054006,            0.013343,            0.002228,            0.002228,            0.002228
                  30,            0.030564,            0.013872,           0.0050338,             0.81843,             0.83921,             0.87923,             0.57647,            0.018516,           0.0054273,            0.014165,            0.002129,            0.002129,            0.002129
                  31,            0.032235,            0.014529,            0.005828,             0.82376,             0.85495,             0.88063,             0.61542,            0.017454,           0.0053931,            0.013067,             0.00203,             0.00203,             0.00203
                  32,             0.02846,            0.013636,           0.0047407,             0.81007,             0.86065,             0.85363,             0.59345,            0.018935,           0.0055026,            0.012687,            0.001931,            0.001931,            0.001931
                  33,            0.027825,              0.0135,           0.0051897,             0.81294,             0.81566,              0.8701,             0.58652,            0.018942,           0.0054727,            0.012384,            0.001832,            0.001832,            0.001832
                  34,            0.030188,            0.014643,           0.0060638,             0.81833,             0.86173,             0.89912,             0.62081,            0.017018,           0.0053289,            0.012754,            0.001733,            0.001733,            0.001733
                  35,            0.028112,            0.013613,           0.0044487,             0.84628,             0.83028,             0.90276,              0.5801,            0.018156,           0.0053828,            0.011819,            0.001634,            0.001634,            0.001634
                  36,             0.02716,            0.013905,            0.004454,             0.80972,             0.88018,             0.91564,             0.62411,            0.016945,           0.0054139,            0.011494,            0.001535,            0.001535,            0.001535
                  37,            0.027885,            0.014203,            0.004961,             0.80758,             0.89616,             0.91159,             0.63731,            0.016679,           0.0053101,            0.011865,            0.001436,            0.001436,            0.001436
