               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.28301,            0.027117,            0.058757,           0.0032153,                   1,            0.046211,            0.014752,             0.10848,            0.014863,            0.035781,              0.0816,              0.0046,              0.0046
                   1,             0.18806,            0.026267,            0.051252,             0.13209,             0.59231,             0.29199,             0.10855,             0.10977,            0.010412,            0.031399,            0.062214,           0.0092139,           0.0092139
                   2,             0.17307,            0.021584,             0.04263,             0.60825,             0.20575,             0.31092,             0.13485,             0.10045,           0.0085131,            0.028511,            0.042638,            0.013638,            0.013638
                   3,             0.17692,            0.022286,            0.045986,             0.40401,              0.1987,             0.15595,            0.061373,             0.12849,           0.0094167,             0.03275,            0.022871,            0.017871,            0.017871
                   4,              0.1832,            0.021081,            0.041488,            0.071057,             0.11074,            0.049697,            0.012917,             0.14174,           0.0087928,            0.031989,            0.018416,            0.018416,            0.018416
                   5,             0.16748,            0.020249,            0.045921,             0.42573,             0.18519,             0.15896,            0.043283,             0.13516,            0.007344,            0.036876,            0.018416,            0.018416,            0.018416
                   6,             0.17045,            0.020747,            0.041181,             0.19791,             0.21005,             0.14069,            0.054978,              0.1271,           0.0087163,            0.033649,             0.01802,             0.01802,             0.01802
                   7,              0.1769,            0.019069,            0.041936,             0.15785,            0.098201,            0.061087,             0.01863,             0.12899,           0.0096801,            0.030968,            0.017624,            0.017624,            0.017624
                   8,             0.16882,            0.019067,            0.042156,            0.039082,             0.14154,            0.035971,            0.018572,             0.15629,            0.010004,            0.033978,            0.017228,            0.017228,            0.017228
                   9,             0.16735,            0.019446,            0.040103,              0.1205,             0.22661,            0.086778,            0.019479,             0.14394,            0.011707,            0.033206,            0.016832,            0.016832,            0.016832
                  10,             0.16569,            0.019079,            0.034181,             0.15206,             0.26888,             0.16101,            0.049947,             0.13008,           0.0091732,            0.031038,            0.016436,            0.016436,            0.016436
                  11,             0.15591,            0.018721,            0.039037,             0.20824,             0.40091,             0.18942,            0.070051,             0.12328,           0.0083542,            0.029263,             0.01604,             0.01604,             0.01604
                  12,             0.14882,            0.018893,            0.034869,              0.3557,             0.35929,             0.31069,             0.13938,             0.10624,           0.0076023,            0.026896,            0.015644,            0.015644,            0.015644
                  13,             0.15228,            0.018636,            0.036901,              0.3108,             0.35004,             0.38398,             0.19478,             0.10417,           0.0086846,            0.029232,            0.015248,            0.015248,            0.015248
                  14,             0.14642,            0.017848,            0.032443,              0.6874,             0.31282,              0.2929,             0.14241,             0.13367,           0.0072153,            0.033632,            0.014852,            0.014852,            0.014852
                  15,             0.13999,            0.017562,            0.031324,             0.38397,             0.49761,             0.39285,             0.19543,            0.096276,           0.0070961,            0.023242,            0.014456,            0.014456,            0.014456
                  16,             0.15119,            0.017918,            0.033167,             0.26452,             0.30171,             0.26904,              0.1038,             0.10669,           0.0078022,             0.02474,             0.01406,             0.01406,             0.01406
                  17,             0.14735,            0.018019,            0.032031,             0.54925,               0.492,             0.52103,              0.2224,             0.09383,           0.0070812,            0.022222,            0.013664,            0.013664,            0.013664
                  18,              0.1488,            0.018137,            0.031002,             0.40924,             0.36945,             0.38935,             0.16344,            0.098144,           0.0077233,            0.023988,            0.013268,            0.013268,            0.013268
                  19,              0.1398,            0.017585,            0.029536,             0.48552,             0.49605,             0.48125,              0.1622,            0.098858,           0.0076071,            0.023536,            0.012872,            0.012872,            0.012872
                  20,             0.14529,            0.016979,             0.02955,             0.44019,             0.41142,             0.32746,             0.14132,             0.10111,           0.0071141,            0.022337,            0.012476,            0.012476,            0.012476
                  21,             0.14663,            0.017056,            0.030903,             0.43853,             0.42612,             0.44686,             0.19332,             0.10013,           0.0069149,             0.02146,             0.01208,             0.01208,             0.01208
                  22,             0.13401,            0.017507,            0.028093,             0.58462,             0.50442,             0.53978,             0.25022,            0.093625,           0.0067269,            0.022501,            0.011684,            0.011684,            0.011684
                  23,             0.13408,            0.017637,            0.026526,             0.62088,             0.52813,             0.54241,             0.24822,            0.095907,           0.0059863,            0.021841,            0.011288,            0.011288,            0.011288
                  24,             0.13215,            0.016594,            0.025543,             0.68948,              0.4842,             0.53177,             0.23098,            0.092956,           0.0060407,            0.030322,            0.010892,            0.010892,            0.010892
                  25,             0.12284,            0.015535,            0.022857,             0.54939,             0.48462,             0.54833,             0.26007,             0.10227,           0.0061477,            0.024454,            0.010496,            0.010496,            0.010496
                  26,             0.13214,            0.016643,            0.024893,             0.59428,              0.5075,             0.52575,             0.25684,            0.090346,           0.0065046,             0.01913,              0.0101,              0.0101,              0.0101
                  27,             0.12687,            0.015928,            0.022578,             0.53377,             0.51089,             0.58168,             0.29019,            0.082155,           0.0064754,            0.019139,            0.009704,            0.009704,            0.009704
                  28,              0.1271,            0.017142,            0.022689,             0.71241,             0.48351,             0.54554,             0.27663,             0.08074,           0.0065011,            0.019436,            0.009308,            0.009308,            0.009308
                  29,              0.1314,            0.016685,            0.025649,             0.65669,             0.50924,             0.52897,             0.26318,            0.092345,            0.006015,            0.025647,            0.008912,            0.008912,            0.008912
                  30,              0.1203,            0.015966,            0.022449,              0.5249,             0.47177,             0.50058,             0.26977,            0.096346,           0.0058836,            0.026018,            0.008516,            0.008516,            0.008516
                  31,             0.12306,            0.015793,            0.023112,             0.58058,             0.57744,             0.55341,             0.31114,            0.091107,            0.005544,            0.022079,             0.00812,             0.00812,             0.00812
                  32,             0.10834,            0.015205,            0.017923,             0.70019,             0.66569,             0.69929,             0.38821,             0.08377,           0.0056206,            0.016681,            0.007724,            0.007724,            0.007724
