               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.095479,             0.01723,            0.038392,           0.0031611,                   1,            0.070039,            0.021938,            0.037426,           0.0086789,            0.021487,              0.0816,              0.0046,              0.0046
                   1,            0.064536,            0.015514,            0.030962,             0.54456,             0.47034,             0.50689,             0.22635,            0.031589,           0.0063737,            0.017658,            0.062214,           0.0092139,           0.0092139
                   2,             0.06114,            0.012245,            0.025257,             0.53572,             0.41133,             0.44922,             0.20543,            0.041843,           0.0041522,            0.014549,            0.042638,            0.013638,            0.013638
                   3,            0.064509,            0.012479,            0.024484,             0.19142,             0.37299,             0.28353,            0.098784,            0.047769,            0.004152,            0.015174,            0.022871,            0.017871,            0.017871
                   4,            0.062905,             0.01203,             0.01984,             0.27615,             0.18576,             0.20463,            0.072395,            0.047116,           0.0043868,            0.022569,            0.018416,            0.018416,            0.018416
                   5,            0.057154,            0.011653,            0.022762,             0.84744,              0.2029,             0.20199,            0.082871,            0.042667,           0.0051719,            0.018784,            0.018416,            0.018416,            0.018416
                   6,            0.061899,            0.011551,            0.020493,             0.37405,             0.48746,             0.37787,             0.16426,            0.038207,           0.0051482,            0.019027,             0.01802,             0.01802,             0.01802
                   7,             0.06063,            0.011099,            0.018803,             0.31594,             0.47458,             0.32559,              0.1437,            0.037314,           0.0065575,            0.018529,            0.017624,            0.017624,            0.017624
                   8,             0.05827,            0.011587,             0.01974,            0.080375,             0.61002,             0.12771,            0.050258,            0.055988,            0.007463,            0.046039,            0.017228,            0.017228,            0.017228
                   9,            0.057695,            0.011848,            0.022503,            0.015085,             0.24293,            0.019236,           0.0073545,              0.0478,             0.01161,            0.035783,            0.016832,            0.016832,            0.016832
                  10,            0.055101,            0.011709,            0.019216,             0.19237,             0.19981,             0.17599,            0.054164,            0.052918,           0.0053696,            0.029328,            0.016436,            0.016436,            0.016436
                  11,            0.051702,            0.011528,            0.020052,             0.38845,             0.36304,             0.25366,             0.10551,            0.035012,            0.005326,            0.028886,             0.01604,             0.01604,             0.01604
                  12,            0.051638,            0.011792,            0.019284,             0.58122,             0.33088,             0.33887,             0.13692,            0.042685,           0.0053626,            0.019307,            0.015644,            0.015644,            0.015644
                  13,            0.051853,            0.011701,            0.018057,             0.11576,             0.16103,            0.072843,            0.025354,            0.052955,           0.0054203,            0.024378,            0.015248,            0.015248,            0.015248
                  14,            0.049222,            0.011308,            0.018145,             0.27598,              0.3987,             0.23592,            0.087406,            0.038229,           0.0052335,            0.029022,            0.014852,            0.014852,            0.014852
                  15,            0.051199,            0.011081,            0.016142,             0.39103,             0.35325,             0.30533,             0.10947,            0.038449,           0.0051039,            0.018192,            0.014456,            0.014456,            0.014456
                  16,            0.054038,            0.011637,            0.018934,             0.33053,             0.33574,             0.30887,             0.12577,            0.034625,           0.0046264,             0.02207,             0.01406,             0.01406,             0.01406
                  17,            0.051487,            0.011589,            0.016739,             0.68105,             0.22278,             0.32403,             0.13979,            0.037732,           0.0063257,            0.026255,            0.013664,            0.013664,            0.013664
                  18,            0.051186,            0.011773,            0.015322,             0.40533,             0.42186,              0.3588,             0.15202,            0.033254,           0.0047094,            0.019024,            0.013268,            0.013268,            0.013268
                  19,            0.049945,            0.010928,            0.014118,             0.43923,             0.44951,             0.39643,             0.16987,            0.032961,           0.0046198,            0.016246,            0.012872,            0.012872,            0.012872
                  20,            0.050028,            0.010842,            0.014701,             0.53075,             0.47491,               0.435,             0.17611,            0.032165,           0.0049521,            0.017136,            0.012476,            0.012476,            0.012476
                  21,            0.049679,            0.010962,            0.014398,             0.22323,             0.30542,             0.17645,            0.080109,            0.041552,           0.0049693,             0.01832,             0.01208,             0.01208,             0.01208
                  22,            0.046689,            0.011483,            0.013773,             0.33669,             0.26643,             0.23981,            0.099222,            0.035368,           0.0047451,            0.016889,            0.011684,            0.011684,            0.011684
                  23,            0.046716,            0.011463,            0.012336,             0.52998,             0.44542,             0.41729,             0.19868,            0.030731,            0.004332,            0.015113,            0.011288,            0.011288,            0.011288
                  24,            0.045213,            0.010719,            0.012218,              0.6514,             0.43394,             0.44682,             0.22621,            0.033711,           0.0040475,            0.019986,            0.010892,            0.010892,            0.010892
                  25,            0.040949,            0.010202,            0.012373,             0.47931,             0.42851,             0.44507,             0.19523,            0.034227,            0.004017,            0.020599,            0.010496,            0.010496,            0.010496
                  26,            0.042369,            0.011001,            0.010698,             0.55974,             0.58568,              0.5535,             0.27558,            0.029431,           0.0037938,            0.020129,              0.0101,              0.0101,              0.0101
                  27,            0.041538,            0.010224,           0.0099016,             0.63504,             0.49146,             0.59534,             0.29271,              0.0296,           0.0038615,            0.018646,            0.009704,            0.009704,            0.009704
                  28,            0.042885,            0.011096,            0.012738,             0.60144,             0.58996,             0.61023,             0.30497,            0.029374,           0.0038879,            0.013687,            0.009308,            0.009308,            0.009308
                  29,            0.046735,            0.011042,            0.014991,             0.63143,             0.59898,             0.62597,             0.31124,            0.026993,           0.0039142,            0.013669,            0.008912,            0.008912,            0.008912
                  30,            0.042198,            0.010372,            0.011256,             0.61622,             0.57426,             0.63344,             0.29184,            0.028915,           0.0040258,            0.015933,            0.008516,            0.008516,            0.008516
                  31,            0.041951,            0.010329,            0.011518,             0.61837,             0.57133,             0.64611,             0.33968,            0.027846,           0.0038783,            0.015514,             0.00812,             0.00812,             0.00812
                  32,            0.038242,           0.0099864,           0.0097572,             0.71568,             0.63443,              0.7378,             0.39459,            0.026022,           0.0038345,            0.012786,            0.007724,            0.007724,            0.007724
                  33,            0.036329,            0.009576,            0.007963,             0.74648,             0.59314,             0.67327,              0.3525,            0.026256,           0.0038518,            0.014289,            0.007328,            0.007328,            0.007328
                  34,            0.039851,            0.010487,            0.010773,             0.71266,             0.56513,             0.63534,             0.32095,            0.027999,           0.0036716,            0.014347,            0.006932,            0.006932,            0.006932
                  35,            0.036955,           0.0098061,           0.0076064,             0.69354,             0.53106,             0.60943,             0.31345,            0.028738,           0.0036741,            0.014457,            0.006536,            0.006536,            0.006536
                  36,            0.034988,           0.0097509,           0.0079112,             0.72498,             0.61361,              0.6507,             0.35936,            0.026755,           0.0037154,            0.013737,             0.00614,             0.00614,             0.00614
                  37,            0.037424,            0.009968,           0.0082669,             0.65463,             0.70472,             0.70985,             0.40592,            0.025028,           0.0037011,            0.013593,            0.005744,            0.005744,            0.005744
                  38,            0.035935,            0.009344,           0.0075893,             0.66642,             0.60631,             0.65504,             0.36692,            0.025278,           0.0036964,             0.01569,            0.005348,            0.005348,            0.005348
                  39,            0.038263,           0.0097416,           0.0073631,             0.71308,             0.65514,             0.68593,             0.40712,             0.02461,           0.0035778,            0.015481,            0.004952,            0.004952,            0.004952
                  40,            0.034137,           0.0087805,           0.0069073,             0.76012,             0.72019,             0.73852,             0.41769,            0.023531,           0.0035014,            0.015942,            0.004556,            0.004556,            0.004556
                  41,            0.037453,           0.0096199,           0.0064651,              0.7721,              0.6644,             0.72554,             0.40014,            0.023962,           0.0034282,            0.015456,             0.00416,             0.00416,             0.00416
                  42,            0.033908,           0.0090932,           0.0080369,             0.65868,             0.63061,             0.68821,             0.40185,             0.02329,           0.0034509,            0.016331,            0.003764,            0.003764,            0.003764
                  43,            0.035738,           0.0094901,           0.0079675,             0.70282,             0.66472,             0.70277,             0.42033,            0.023245,           0.0034983,            0.015767,            0.003368,            0.003368,            0.003368
                  44,            0.034449,           0.0094393,           0.0097174,             0.76237,             0.72283,             0.77163,             0.46022,            0.022017,            0.003391,            0.014747,            0.002972,            0.002972,            0.002972
                  45,            0.033516,           0.0096506,           0.0074609,             0.72953,             0.70243,             0.77176,             0.46003,            0.023271,           0.0033847,            0.014733,            0.002576,            0.002576,            0.002576
                  46,            0.035064,           0.0090237,           0.0066511,             0.72165,             0.67426,               0.779,             0.48461,            0.023367,           0.0033987,            0.014922,             0.00218,             0.00218,             0.00218
                  47,            0.033338,           0.0094317,           0.0058437,             0.69537,             0.80034,             0.80353,             0.48748,            0.023301,             0.00337,            0.014506,            0.001784,            0.001784,            0.001784
                  48,            0.031246,           0.0084987,           0.0060882,             0.73848,             0.74109,             0.80758,              0.4975,            0.023006,           0.0033651,            0.014449,            0.001388,            0.001388,            0.001388
                  49,            0.033654,           0.0090517,           0.0059548,             0.76523,             0.77089,             0.80724,             0.49573,            0.022596,           0.0033243,            0.014614,            0.000992,            0.000992,            0.000992
