               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.19831,            0.034207,            0.059593,           0.0031351,             0.96796,            0.034481,           0.0090347,            0.079506,            0.018116,            0.035833,              0.0793,              0.0023,              0.0023
                   1,             0.13286,            0.033396,            0.050858,             0.56401,            0.090912,              0.3264,             0.13177,            0.061231,            0.013345,            0.029926,            0.057607,           0.0046069,           0.0046069
                   2,              0.1123,            0.027094,            0.040874,              0.5598,             0.55706,             0.59422,             0.21273,            0.061064,            0.010092,            0.025969,            0.035819,           0.0068188,           0.0068188
                   3,             0.11528,            0.025872,            0.041528,              0.3793,             0.51483,             0.46364,             0.23306,             0.07313,           0.0083216,            0.024791,            0.013936,           0.0089357,           0.0089357
                   4,             0.11759,            0.024446,            0.036023,             0.56464,              0.4663,             0.49451,             0.24457,            0.069831,           0.0077968,            0.021291,            0.009208,            0.009208,            0.009208
                   5,            0.098901,            0.022974,            0.039904,             0.41535,              0.5328,             0.49115,             0.25494,            0.068465,           0.0079337,            0.019712,            0.009208,            0.009208,            0.009208
                   6,             0.10825,            0.022144,            0.031487,              0.5948,             0.58616,             0.60275,             0.28728,             0.05444,            0.007269,            0.017892,             0.00901,             0.00901,             0.00901
                   7,             0.10294,            0.020376,             0.02918,             0.52165,             0.67699,             0.67393,             0.34438,            0.053165,           0.0074886,            0.018766,            0.008812,            0.008812,            0.008812
                   8,            0.098784,            0.020167,            0.029433,              0.5281,             0.59761,             0.58307,              0.2969,            0.051015,           0.0075241,            0.021569,            0.008614,            0.008614,            0.008614
                   9,            0.092558,            0.020295,            0.029145,             0.66509,             0.65429,             0.73347,             0.33425,            0.058914,           0.0065691,            0.017968,            0.008416,            0.008416,            0.008416
                  10,            0.092031,            0.020189,            0.023935,             0.67091,             0.69278,             0.73265,             0.42772,             0.04651,           0.0066313,            0.018304,            0.008218,            0.008218,            0.008218
                  11,            0.085682,            0.019429,             0.02537,             0.66309,             0.66975,             0.70359,             0.39344,            0.055159,           0.0067964,            0.020719,             0.00802,             0.00802,             0.00802
                  12,             0.08622,            0.019782,            0.022026,             0.73442,             0.66009,             0.75323,             0.44589,            0.049032,            0.007437,             0.02222,            0.007822,            0.007822,            0.007822
                  13,            0.083447,             0.01949,            0.022459,             0.71546,             0.69191,             0.79257,             0.46965,            0.045677,           0.0067352,            0.019514,            0.007624,            0.007624,            0.007624
                  14,            0.083105,            0.018369,            0.018738,             0.75616,             0.73512,             0.80037,             0.43983,            0.048795,           0.0066453,            0.019534,            0.007426,            0.007426,            0.007426
                  15,            0.080622,             0.01787,             0.01814,             0.67614,             0.69752,             0.74718,             0.42069,            0.049162,            0.006936,            0.021821,            0.007228,            0.007228,            0.007228
                  16,            0.083293,            0.018522,            0.018342,              0.7442,             0.67922,              0.7693,             0.43942,            0.049369,           0.0071626,            0.020113,             0.00703,             0.00703,             0.00703
                  17,            0.083638,             0.01865,            0.016009,             0.73216,             0.62297,             0.70833,             0.44552,            0.044517,           0.0071614,            0.021145,            0.006832,            0.006832,            0.006832
                  18,            0.079505,            0.018875,            0.018437,             0.69233,             0.52313,             0.62157,             0.38345,            0.052557,           0.0069242,            0.029303,            0.006634,            0.006634,            0.006634
                  19,            0.077253,            0.017517,             0.01667,             0.70973,             0.58915,             0.58457,             0.34324,             0.05673,           0.0068105,             0.02629,            0.006436,            0.006436,            0.006436
                  20,            0.076799,            0.017063,            0.016262,             0.75074,             0.71906,              0.7566,             0.39892,             0.04811,           0.0062467,            0.022085,            0.006238,            0.006238,            0.006238
                  21,            0.076309,            0.017618,            0.016488,             0.70148,             0.60886,             0.71191,             0.43658,            0.051123,           0.0065224,            0.023225,             0.00604,             0.00604,             0.00604
                  22,            0.072857,            0.018235,            0.015356,             0.72108,             0.74541,             0.75812,               0.521,            0.045183,           0.0064165,              0.0214,            0.005842,            0.005842,            0.005842
                  23,            0.070988,            0.017692,            0.011445,             0.77841,             0.73028,             0.80777,             0.51493,            0.044141,           0.0061318,            0.024515,            0.005644,            0.005644,            0.005644
                  24,            0.073123,             0.01673,              0.0124,             0.79491,             0.75515,             0.78794,             0.50032,            0.041596,           0.0060804,            0.019832,            0.005446,            0.005446,            0.005446
                  25,            0.064006,            0.015808,            0.011033,             0.75682,             0.76721,             0.81544,             0.47949,            0.044592,           0.0062092,             0.01965,            0.005248,            0.005248,            0.005248
                  26,              0.0684,            0.017271,            0.012424,             0.67435,             0.75283,             0.78523,             0.51391,            0.040741,           0.0064629,            0.021538,             0.00505,             0.00505,             0.00505
                  27,            0.066283,            0.016204,            0.011073,              0.7045,             0.75203,              0.7684,             0.49345,              0.0441,           0.0061191,            0.021121,            0.004852,            0.004852,            0.004852
                  28,            0.067834,            0.017244,            0.013526,             0.77126,             0.74286,             0.77626,             0.52166,            0.041166,            0.006105,            0.020834,            0.004654,            0.004654,            0.004654
                  29,            0.070768,            0.017074,            0.013817,             0.68946,             0.73763,              0.7601,             0.49765,            0.042291,           0.0062241,            0.022273,            0.004456,            0.004456,            0.004456
                  30,            0.064812,            0.015968,           0.0088365,             0.68667,             0.78153,             0.80909,             0.49444,             0.04241,           0.0061178,            0.020159,            0.004258,            0.004258,            0.004258
                  31,             0.06877,            0.016223,            0.011346,               0.765,             0.75209,             0.80493,             0.54907,            0.038035,           0.0060865,            0.020957,             0.00406,             0.00406,             0.00406
                  32,            0.059066,            0.015342,            0.010228,             0.77427,             0.73724,             0.78255,             0.51555,             0.03835,           0.0062196,            0.019959,            0.003862,            0.003862,            0.003862
                  33,            0.056331,             0.01497,           0.0087255,             0.83172,             0.70919,             0.79767,             0.52347,            0.042403,            0.006259,            0.021427,            0.003664,            0.003664,            0.003664
                  34,            0.065284,            0.016332,             0.01161,             0.74924,             0.68193,             0.76258,             0.51738,            0.039886,           0.0062361,            0.023309,            0.003466,            0.003466,            0.003466
                  35,            0.058646,            0.015382,           0.0077152,             0.71748,             0.74991,             0.76817,             0.53458,            0.039857,           0.0061308,            0.023961,            0.003268,            0.003268,            0.003268
                  36,            0.055098,            0.015311,            0.008636,             0.80597,             0.79577,             0.82076,             0.56935,            0.038451,           0.0061016,             0.02237,             0.00307,             0.00307,             0.00307
                  37,            0.059061,            0.015597,           0.0093888,             0.81403,             0.76618,             0.79618,             0.54933,            0.037381,           0.0061047,            0.023087,            0.002872,            0.002872,            0.002872
                  38,            0.057291,            0.014739,           0.0072691,             0.77927,             0.76546,             0.77159,             0.53412,            0.039006,           0.0062513,            0.023553,            0.002674,            0.002674,            0.002674
                  39,            0.063137,            0.015543,           0.0074735,             0.74791,             0.78787,             0.80807,             0.55165,            0.037642,           0.0061502,            0.021686,            0.002476,            0.002476,            0.002476
                  40,            0.055507,            0.013805,           0.0088167,             0.81853,             0.73222,             0.77493,             0.54942,            0.038478,           0.0059759,            0.024603,            0.002278,            0.002278,            0.002278
                  41,            0.058374,            0.015456,           0.0065206,             0.83349,             0.72723,             0.77085,             0.52619,            0.042701,           0.0059768,            0.026346,             0.00208,             0.00208,             0.00208
                  42,            0.052676,            0.014324,           0.0082423,              0.7694,              0.7831,             0.79876,             0.55833,            0.038595,           0.0058507,            0.025565,            0.001882,            0.001882,            0.001882
                  43,            0.055184,            0.015297,           0.0064341,              0.7685,             0.77537,             0.83783,             0.59052,             0.03643,            0.005784,            0.024303,            0.001684,            0.001684,            0.001684
                  44,            0.052349,            0.014916,           0.0086036,             0.84344,             0.75937,             0.83025,             0.57902,            0.037655,           0.0057855,            0.024719,            0.001486,            0.001486,            0.001486
                  45,            0.051226,            0.015034,           0.0069925,             0.83745,             0.73871,             0.82766,             0.57573,            0.037137,           0.0058436,             0.02653,            0.001288,            0.001288,            0.001288
                  46,            0.053795,              0.0145,           0.0070103,             0.82627,             0.74176,             0.83909,             0.57736,            0.037097,           0.0058673,            0.025272,             0.00109,             0.00109,             0.00109
                  47,            0.049633,              0.0151,           0.0055697,             0.85636,             0.73015,             0.84082,              0.5812,            0.036672,           0.0058668,            0.024418,            0.000892,            0.000892,            0.000892
                  48,            0.049427,            0.013461,           0.0062888,             0.82219,             0.79363,              0.8382,             0.58954,            0.036166,           0.0058295,            0.024102,            0.000694,            0.000694,            0.000694
                  49,            0.051211,            0.014384,           0.0071018,             0.83428,              0.7828,             0.85101,             0.60167,            0.036248,           0.0057713,            0.023897,            0.000496,            0.000496,            0.000496
