               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.29617,             0.01813,            0.060464,           0.0032707,             0.95042,            0.020868,           0.0052765,             0.11827,            0.011561,            0.037566,              0.0793,              0.0023,              0.0023
                   1,             0.19973,            0.019498,            0.053272,           0.0030959,             0.97783,             0.10417,            0.034112,             0.10077,           0.0087927,            0.033519,            0.057607,           0.0046069,           0.0046069
                   2,             0.16532,            0.017493,            0.043505,             0.35388,             0.39824,             0.36964,             0.16014,            0.090804,           0.0074034,            0.029383,            0.035819,           0.0068188,           0.0068188
                   3,             0.16524,            0.017294,            0.044801,             0.84491,             0.22993,             0.48484,             0.20195,            0.092663,           0.0065792,            0.027062,            0.013936,           0.0089357,           0.0089357
                   4,             0.16608,            0.016185,            0.040996,             0.85848,              0.2277,             0.47012,             0.23846,            0.095494,           0.0060903,            0.025456,            0.009208,            0.009208,            0.009208
                   5,             0.14826,            0.015464,            0.044887,             0.89047,             0.21962,             0.37457,             0.12662,             0.10824,            0.005418,            0.027368,            0.009208,            0.009208,            0.009208
                   6,             0.15293,            0.015273,            0.040777,             0.86438,             0.27441,             0.43955,              0.1932,             0.09492,           0.0058852,            0.025172,             0.00901,             0.00901,             0.00901
                   7,             0.14845,            0.013878,            0.040758,             0.83121,             0.33414,             0.54844,             0.30267,            0.076245,           0.0056368,            0.022828,            0.008812,            0.008812,            0.008812
                   8,             0.14413,            0.014058,            0.038153,             0.67746,              0.3886,             0.55902,             0.28282,            0.089061,           0.0051823,            0.023686,            0.008614,            0.008614,            0.008614
                   9,             0.13029,            0.014228,            0.038193,             0.72138,             0.52461,             0.65395,              0.3614,            0.085895,            0.004669,            0.021331,            0.008416,            0.008416,            0.008416
                  10,             0.12952,            0.013449,            0.032843,             0.62796,             0.45594,             0.58553,             0.32341,            0.092895,            0.004352,            0.020476,            0.008218,            0.008218,            0.008218
                  11,             0.12434,            0.013204,            0.035439,             0.67046,             0.59476,              0.6692,             0.37994,            0.082578,           0.0043676,            0.021538,             0.00802,             0.00802,             0.00802
                  12,             0.12623,            0.013016,             0.03203,             0.62202,              0.5847,             0.63927,             0.33757,            0.076024,           0.0041517,            0.020407,            0.007822,            0.007822,            0.007822
                  13,             0.12683,            0.012616,            0.033278,             0.59171,             0.58293,             0.63654,             0.34895,            0.075077,           0.0039487,            0.020005,            0.007624,            0.007624,            0.007624
                  14,             0.12494,            0.011866,            0.028305,              0.5754,             0.67016,             0.67128,             0.36612,            0.068521,           0.0039981,            0.020961,            0.007426,            0.007426,            0.007426
                  15,             0.12513,            0.011383,            0.027024,             0.73057,             0.61761,              0.6888,             0.33254,            0.074031,           0.0040023,            0.019223,            0.007228,            0.007228,            0.007228
                  16,             0.12495,            0.012047,            0.029063,             0.62489,             0.54994,              0.6572,             0.29803,            0.073379,           0.0041868,            0.022093,             0.00703,             0.00703,             0.00703
                  17,             0.12135,            0.012078,            0.025746,             0.71992,             0.61819,             0.69856,             0.43714,            0.072779,           0.0040886,            0.020131,            0.006832,            0.006832,            0.006832
                  18,             0.12145,            0.011962,            0.023908,             0.70825,             0.61324,             0.67373,             0.42901,            0.070775,           0.0040402,            0.020691,            0.006634,            0.006634,            0.006634
                  19,             0.11858,            0.011259,            0.021412,             0.77041,             0.60166,             0.70745,             0.45395,            0.064672,           0.0038029,            0.020181,            0.006436,            0.006436,            0.006436
                  20,              0.1176,            0.011078,             0.02113,             0.72276,             0.57162,             0.71351,             0.37207,            0.073911,           0.0036902,            0.018941,            0.006238,            0.006238,            0.006238
                  21,             0.12217,            0.011106,            0.022324,             0.76136,             0.57439,             0.70594,             0.39117,            0.071202,           0.0037367,            0.017515,             0.00604,             0.00604,             0.00604
                  22,             0.10176,            0.011355,            0.018992,             0.73975,             0.69352,             0.72548,             0.39128,            0.072144,           0.0036451,            0.016767,            0.005842,            0.005842,            0.005842
                  23,              0.1075,            0.011295,             0.01734,             0.77467,              0.7689,             0.81058,             0.46225,            0.064223,           0.0035248,            0.016698,            0.005644,            0.005644,            0.005644
                  24,             0.10658,            0.010639,              0.0179,             0.81448,             0.76306,             0.82404,             0.46476,            0.065366,           0.0034456,            0.015244,            0.005446,            0.005446,            0.005446
                  25,             0.09702,           0.0099077,            0.015499,             0.83325,             0.64966,             0.83206,             0.50091,            0.069733,           0.0034923,            0.016407,            0.005248,            0.005248,            0.005248
                  26,             0.10147,            0.010514,            0.016109,             0.66527,             0.71114,              0.7892,             0.48982,            0.060402,           0.0035846,            0.019169,             0.00505,             0.00505,             0.00505
                  27,            0.097616,           0.0099886,             0.01452,             0.62521,             0.73051,              0.7696,             0.46285,            0.059827,           0.0034826,            0.017818,            0.004852,            0.004852,            0.004852
                  28,            0.098258,            0.010835,            0.016683,             0.76713,              0.7565,             0.80583,             0.51266,            0.057558,           0.0035194,            0.015302,            0.004654,            0.004654,            0.004654
                  29,             0.10946,            0.010599,            0.018559,              0.7997,             0.63379,             0.75187,             0.48996,            0.057823,           0.0036376,             0.01619,            0.004456,            0.004456,            0.004456
                  30,            0.095514,            0.010061,            0.013773,             0.80958,             0.54277,             0.77015,             0.47146,            0.063832,           0.0036173,            0.019973,            0.004258,            0.004258,            0.004258
                  31,             0.10269,            0.010082,            0.016441,             0.76614,             0.71131,             0.79485,             0.51528,            0.065979,           0.0034976,            0.017258,             0.00406,             0.00406,             0.00406
                  32,             0.09183,           0.0094646,            0.012665,             0.84738,             0.73268,             0.81647,             0.54172,            0.059364,           0.0032474,            0.019813,            0.003862,            0.003862,            0.003862
                  33,            0.087447,           0.0090968,            0.012852,             0.76989,             0.73356,             0.77515,             0.51978,             0.06217,           0.0032904,            0.022149,            0.003664,            0.003664,            0.003664
                  34,            0.095401,            0.010009,            0.015441,             0.70125,             0.71524,             0.76301,             0.52007,            0.059428,           0.0033488,            0.021358,            0.003466,            0.003466,            0.003466
                  35,            0.089112,           0.0093981,            0.011278,             0.74491,             0.67893,             0.79573,             0.52621,             0.05608,           0.0033936,            0.020041,            0.003268,            0.003268,            0.003268
