               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.31136,            0.034484,            0.041529,           0.0030937,             0.86941,            0.014289,           0.0038126,             0.14152,             0.02082,            0.026848,             0.07815,             0.00115,             0.00115
                   1,             0.22277,             0.03606,             0.03897,            0.003296,                   1,            0.063684,             0.02049,             0.10407,            0.017312,             0.02496,            0.055303,           0.0023035,           0.0023035
                   2,             0.17833,            0.033695,            0.032042,           0.0062406,                   1,             0.31566,             0.14113,            0.087072,              0.0138,             0.02257,            0.032409,           0.0034094,           0.0034094
                   3,             0.16169,            0.033465,            0.032073,             0.67225,             0.35289,             0.49616,             0.21981,            0.091065,            0.010909,            0.021034,           0.0094678,           0.0044678,           0.0044678
                   4,             0.15748,            0.030217,            0.029295,             0.56181,             0.53237,             0.58258,              0.3346,            0.077815,           0.0094157,            0.020081,            0.004604,            0.004604,            0.004604
                   5,             0.13532,            0.027576,            0.032122,             0.61298,             0.59972,             0.60687,             0.26381,            0.084901,           0.0081087,            0.019954,            0.004604,            0.004604,            0.004604
                   6,             0.14121,            0.026769,             0.02915,             0.41816,             0.60653,             0.53395,             0.29905,            0.071069,           0.0087034,            0.019013,            0.004505,            0.004505,            0.004505
                   7,             0.13598,            0.024112,            0.029979,             0.47411,             0.58375,             0.58998,             0.36326,            0.071963,           0.0083354,            0.018325,            0.004406,            0.004406,            0.004406
                   8,             0.13095,            0.024055,            0.030815,              0.5368,             0.62626,             0.62437,             0.39514,             0.06825,           0.0075768,            0.018052,            0.004307,            0.004307,            0.004307
                   9,             0.11961,            0.023728,            0.029645,             0.50896,             0.58155,             0.58799,              0.3836,            0.071026,            0.007291,            0.017862,            0.004208,            0.004208,            0.004208
                  10,             0.12034,            0.022855,            0.027267,             0.46689,              0.5588,             0.53283,             0.28935,            0.080897,           0.0071643,            0.017901,            0.004109,            0.004109,            0.004109
                  11,              0.1122,            0.022192,            0.029292,             0.55095,             0.58802,              0.6091,             0.35442,             0.08198,           0.0072562,            0.017989,             0.00401,             0.00401,             0.00401
                  12,             0.10894,             0.02217,             0.02783,             0.61622,             0.62556,              0.6345,             0.39921,            0.070267,           0.0070141,            0.017638,            0.003911,            0.003911,            0.003911
                  13,             0.11059,            0.021351,            0.028816,             0.59755,             0.67606,              0.6294,             0.40721,             0.06461,           0.0066429,            0.017329,            0.003812,            0.003812,            0.003812
                  14,             0.10977,            0.019931,            0.026778,             0.55651,             0.74176,             0.61561,             0.39252,            0.066553,            0.006636,            0.017144,            0.003713,            0.003713,            0.003713
                  15,              0.1037,             0.01925,            0.026381,             0.56082,             0.74389,             0.62255,             0.36345,            0.065981,           0.0064232,            0.017104,            0.003614,            0.003614,            0.003614
