               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.19684,            0.034219,            0.020554,           0.0032453,             0.98551,            0.033552,           0.0086823,             0.07869,            0.017624,            0.012994,              0.0793,              0.0023,              0.0023
                   1,             0.13109,             0.03323,            0.018636,            0.073847,             0.90047,             0.31778,             0.11619,             0.05741,            0.012509,            0.011921,            0.057607,           0.0046069,           0.0046069
                   2,             0.11193,            0.027157,            0.015593,             0.38397,             0.55424,             0.41974,             0.19337,            0.060615,            0.010013,            0.010838,            0.035819,           0.0068188,           0.0068188
                   3,             0.10933,            0.026214,            0.016016,             0.24321,             0.43235,             0.28419,             0.11162,            0.081207,           0.0071462,            0.010027,            0.013936,           0.0089357,           0.0089357
                   4,             0.10974,            0.024536,            0.015036,             0.30209,             0.42381,             0.35788,             0.12139,            0.076163,           0.0082185,            0.010111,            0.009208,            0.009208,            0.009208
                   5,             0.09888,            0.022634,            0.016232,             0.37805,             0.49785,             0.49033,             0.27277,            0.057881,           0.0075951,            0.010027,            0.009208,            0.009208,            0.009208
                   6,            0.097896,             0.02264,            0.015253,             0.49291,             0.58289,             0.55743,             0.31569,            0.047775,           0.0076842,            0.009767,             0.00901,             0.00901,             0.00901
                   7,            0.092944,            0.020607,            0.015625,             0.45442,             0.62615,             0.55245,             0.31401,             0.05171,           0.0073215,           0.0097681,            0.008812,            0.008812,            0.008812
                   8,            0.092531,            0.020136,             0.01566,             0.48386,             0.73855,             0.58701,             0.32398,            0.052193,           0.0069567,           0.0093733,            0.008614,            0.008614,            0.008614
                   9,            0.081405,            0.020597,            0.015333,              0.4768,             0.64296,             0.58294,              0.3109,            0.053838,           0.0076357,           0.0092817,            0.008416,            0.008416,            0.008416
                  10,             0.08224,            0.020094,             0.01393,             0.46408,              0.5684,             0.53962,              0.2725,            0.051726,           0.0073092,           0.0091272,            0.008218,            0.008218,            0.008218
                  11,            0.083742,            0.019183,            0.015053,             0.44983,             0.62223,              0.5646,             0.30951,            0.050398,            0.006907,            0.009244,             0.00802,             0.00802,             0.00802
                  12,            0.080601,            0.019535,            0.014601,             0.48286,             0.55828,             0.54063,             0.34491,            0.043383,           0.0070388,           0.0093258,            0.007822,            0.007822,            0.007822
                  13,             0.07866,            0.019492,            0.014917,             0.52886,              0.6339,             0.58886,             0.36138,            0.041864,           0.0069008,           0.0094122,            0.007624,            0.007624,            0.007624
                  14,            0.079305,            0.018262,            0.014027,             0.53309,              0.6723,             0.58461,              0.3444,            0.042577,           0.0067631,           0.0092062,            0.007426,            0.007426,            0.007426
                  15,            0.074528,            0.017675,            0.014567,             0.53069,             0.67768,             0.59674,             0.34009,            0.048104,           0.0067693,           0.0090843,            0.007228,            0.007228,            0.007228
                  16,            0.077588,            0.018234,            0.014394,             0.50409,             0.66786,             0.57175,             0.34595,            0.048106,           0.0072546,           0.0089201,             0.00703,             0.00703,             0.00703
                  17,            0.076678,             0.01844,            0.014033,             0.52779,             0.69148,             0.63153,             0.39732,            0.047967,           0.0069064,           0.0089195,            0.006832,            0.006832,            0.006832
                  18,            0.073793,            0.017978,            0.014034,             0.52516,             0.75832,             0.67326,             0.40523,            0.045655,           0.0067886,           0.0087639,            0.006634,            0.006634,            0.006634
                  19,            0.071952,            0.016839,            0.012897,             0.51696,             0.66085,             0.65342,             0.41066,            0.038947,           0.0067863,           0.0087164,            0.006436,            0.006436,            0.006436
                  20,            0.072349,            0.016358,            0.013354,             0.48186,             0.55417,             0.50016,             0.29953,            0.050953,           0.0068794,           0.0088669,            0.006238,            0.006238,            0.006238
                  21,            0.073415,            0.016982,            0.012905,             0.52693,             0.59575,             0.57884,             0.34484,            0.050375,           0.0064625,            0.008729,             0.00604,             0.00604,             0.00604
                  22,            0.067006,            0.017147,            0.012705,             0.61634,             0.72955,             0.70233,             0.40758,            0.048071,           0.0060559,            0.008634,            0.005842,            0.005842,            0.005842
                  23,            0.067379,            0.017626,            0.012682,             0.67539,             0.69665,             0.75602,             0.49936,            0.042824,           0.0059301,           0.0080046,            0.005644,            0.005644,            0.005644
                  24,            0.066228,            0.016299,            0.012627,             0.54159,             0.71529,             0.71717,             0.39553,            0.047418,           0.0062015,           0.0076109,            0.005446,            0.005446,            0.005446
                  25,             0.05981,            0.015108,            0.011755,             0.60494,             0.72698,             0.74931,             0.41975,            0.041325,           0.0065121,           0.0078856,            0.005248,            0.005248,            0.005248
                  26,            0.060214,            0.016595,            0.012474,             0.65472,             0.65682,             0.73614,               0.442,            0.040255,           0.0062784,           0.0078936,             0.00505,             0.00505,             0.00505
                  27,            0.063326,             0.01535,            0.012025,             0.64623,             0.67458,             0.70454,             0.43342,            0.040125,           0.0065191,             0.00779,            0.004852,            0.004852,            0.004852
                  28,            0.063699,            0.016959,            0.011606,             0.64484,              0.7058,              0.7367,             0.45868,            0.039972,           0.0065106,           0.0073877,            0.004654,            0.004654,            0.004654
                  29,            0.067705,            0.016836,            0.011802,             0.57885,             0.76911,             0.72796,             0.46742,            0.038371,            0.006433,           0.0077374,            0.004456,            0.004456,            0.004456
                  30,            0.059353,            0.015338,            0.011402,             0.61394,             0.72893,             0.73204,             0.45005,            0.039957,           0.0060402,             0.00758,            0.004258,            0.004258,            0.004258
                  31,            0.063121,            0.015602,            0.011418,             0.63332,             0.76591,             0.76668,             0.48617,            0.043317,           0.0060899,           0.0072744,             0.00406,             0.00406,             0.00406
                  32,            0.054321,            0.014875,           0.0095731,              0.6252,             0.74491,             0.77654,             0.53342,            0.037914,           0.0057878,           0.0070112,            0.003862,            0.003862,            0.003862
                  33,            0.054783,            0.014289,            0.010379,             0.61113,             0.76643,             0.77215,             0.51373,             0.03881,           0.0058291,           0.0069692,            0.003664,            0.003664,            0.003664
                  34,            0.060349,            0.015861,            0.010952,             0.67822,             0.76492,             0.77476,             0.50485,            0.037315,           0.0061727,           0.0067612,            0.003466,            0.003466,            0.003466
                  35,            0.054345,              0.0148,           0.0098707,             0.66034,             0.74176,             0.75396,             0.48558,            0.040339,           0.0064468,           0.0070232,            0.003268,            0.003268,            0.003268
                  36,            0.051478,              0.0151,            0.010371,             0.62445,             0.69376,             0.73128,             0.44314,            0.039653,           0.0067236,           0.0067105,             0.00307,             0.00307,             0.00307
                  37,             0.05326,            0.015232,            0.010759,             0.57325,             0.77032,             0.72523,             0.46733,            0.038903,           0.0063584,            0.006633,            0.002872,            0.002872,            0.002872
                  38,            0.049923,            0.014287,            0.010561,              0.6394,             0.68233,             0.76761,             0.49134,            0.038731,           0.0062134,           0.0067683,            0.002674,            0.002674,            0.002674
                  39,            0.056624,             0.01498,            0.010113,             0.66374,              0.7192,             0.79165,             0.50604,            0.039604,           0.0061214,           0.0067348,            0.002476,            0.002476,            0.002476
                  40,            0.051419,            0.013205,           0.0097491,             0.62744,             0.77117,             0.78812,             0.51533,            0.038557,           0.0063556,           0.0067763,            0.002278,            0.002278,            0.002278
                  41,            0.054901,            0.014863,           0.0094867,             0.72387,               0.732,             0.82272,             0.53574,            0.039311,           0.0060793,           0.0062468,             0.00208,             0.00208,             0.00208
                  42,            0.049103,             0.01365,            0.008793,             0.69703,             0.77434,             0.81605,             0.54731,            0.037361,           0.0059268,           0.0062038,            0.001882,            0.001882,            0.001882
                  43,            0.052293,            0.014781,           0.0094061,             0.82327,             0.72538,             0.84405,             0.56971,            0.037579,           0.0058795,           0.0059999,            0.001684,            0.001684,            0.001684
                  44,            0.049824,            0.014168,           0.0093487,             0.85801,             0.75113,             0.86332,             0.58367,            0.039213,           0.0057649,           0.0059727,            0.001486,            0.001486,            0.001486
                  45,            0.048442,            0.014362,           0.0087577,             0.81272,             0.73627,             0.85877,             0.57723,            0.038968,            0.005796,           0.0061028,            0.001288,            0.001288,            0.001288
                  46,             0.05166,            0.014093,           0.0090576,             0.77731,             0.77399,             0.85545,             0.57339,            0.038632,           0.0058781,           0.0061395,             0.00109,             0.00109,             0.00109
                  47,             0.04652,            0.014504,           0.0083486,             0.75256,             0.75137,             0.85241,             0.58507,            0.038121,           0.0058553,           0.0061266,            0.000892,            0.000892,            0.000892
                  48,            0.046198,             0.01276,           0.0080128,             0.77888,             0.78989,             0.86043,             0.59138,            0.037632,           0.0058471,           0.0061581,            0.000694,            0.000694,            0.000694
                  49,            0.048191,            0.013676,           0.0086583,             0.78292,             0.80049,             0.87541,              0.5991,            0.037735,           0.0058817,           0.0060699,            0.000496,            0.000496,            0.000496
